rRNA_name,position,total_coverage
12S-rRNA,84,62424
12S-rRNA,85,66179
12S-rRNA,86,65283
12S-rRNA,87,64208
12S-rRNA,88,63714
12S-rRNA,89,63418
12S-rRNA,90,63320
12S-rRNA,91,63165
12S-rRNA,92,62870
12S-rRNA,93,61663
12S-rRNA,94,58609
12S-rRNA,95,56386
12S-rRNA,96,55335
12S-rRNA,97,54992
12S-rRNA,98,54735
12S-rRNA,99,53878
12S-rRNA,100,52892
12S-rRNA,101,52570
12S-rRNA,102,52524
12S-rRNA,103,52459
12S-rRNA,104,52314
12S-rRNA,105,52102
12S-rRNA,106,51817
12S-rRNA,107,51298
12S-rRNA,108,50992
12S-rRNA,109,50286
12S-rRNA,110,49662
12S-rRNA,111,48642
12S-rRNA,112,47633
12S-rRNA,113,45518
12S-rRNA,114,42572
12S-rRNA,115,40964
12S-rRNA,116,40648
12S-rRNA,117,39611
12S-rRNA,118,37311
12S-rRNA,119,34246
12S-rRNA,120,28427
12S-rRNA,121,22074
12S-rRNA,122,15325
12S-rRNA,123,11158
12S-rRNA,124,9800
12S-rRNA,125,9158
12S-rRNA,126,8588
12S-rRNA,127,8397
12S-rRNA,128,8289
12S-rRNA,129,8214
12S-rRNA,130,8043
12S-rRNA,131,7979
12S-rRNA,132,7654
12S-rRNA,133,6971
12S-rRNA,134,6295
12S-rRNA,135,5555
12S-rRNA,136,4645
12S-rRNA,137,4600
12S-rRNA,138,4502
12S-rRNA,139,4421
12S-rRNA,140,4369
12S-rRNA,141,4305
12S-rRNA,142,4105
12S-rRNA,143,4018
12S-rRNA,144,3808
12S-rRNA,145,3663
12S-rRNA,146,3522
12S-rRNA,147,3362
12S-rRNA,148,3299
12S-rRNA,149,3211
12S-rRNA,150,3098
12S-rRNA,151,2605
12S-rRNA,152,1636
12S-rRNA,153,1386
12S-rRNA,154,1305
12S-rRNA,155,1264
12S-rRNA,156,1152
12S-rRNA,157,1008
12S-rRNA,158,820
12S-rRNA,159,702
12S-rRNA,160,639
12S-rRNA,161,616
12S-rRNA,162,592
12S-rRNA,163,580
12S-rRNA,164,556
12S-rRNA,165,477
12S-rRNA,166,395
12S-rRNA,167,303
12S-rRNA,168,298
12S-rRNA,169,329
12S-rRNA,170,306
12S-rRNA,171,372
12S-rRNA,172,393
12S-rRNA,173,362
12S-rRNA,174,350
12S-rRNA,175,293
12S-rRNA,176,274
12S-rRNA,177,234
12S-rRNA,178,226
12S-rRNA,179,226
12S-rRNA,180,226
12S-rRNA,181,221
12S-rRNA,182,221
12S-rRNA,183,221
12S-rRNA,184,221
12S-rRNA,185,213
12S-rRNA,186,192
12S-rRNA,187,188
12S-rRNA,188,173
12S-rRNA,189,158
12S-rRNA,190,156
12S-rRNA,191,152
12S-rRNA,192,150
12S-rRNA,193,679
12S-rRNA,194,3478
12S-rRNA,195,7326
12S-rRNA,196,8578
12S-rRNA,197,9204
12S-rRNA,198,10749
12S-rRNA,199,13057
12S-rRNA,200,15734
12S-rRNA,201,22236
12S-rRNA,202,34540
12S-rRNA,203,50179
12S-rRNA,204,76154
12S-rRNA,205,80338
12S-rRNA,206,85087
12S-rRNA,207,92567
12S-rRNA,208,105353
12S-rRNA,209,114274
12S-rRNA,210,117749
12S-rRNA,211,123844
12S-rRNA,212,126491
12S-rRNA,213,126638
12S-rRNA,214,126546
12S-rRNA,215,126507
12S-rRNA,216,126377
12S-rRNA,217,125808
12S-rRNA,218,124869
12S-rRNA,219,124014
12S-rRNA,220,123193
12S-rRNA,221,122428
12S-rRNA,222,121444
12S-rRNA,223,119159
12S-rRNA,224,116909
12S-rRNA,225,112183
12S-rRNA,226,107597
12S-rRNA,227,104327
12S-rRNA,228,101496
12S-rRNA,229,96937
12S-rRNA,230,91354
12S-rRNA,231,85116
12S-rRNA,232,81405
12S-rRNA,233,79942
12S-rRNA,234,79104
12S-rRNA,235,78571
12S-rRNA,236,78341
12S-rRNA,237,77771
12S-rRNA,238,76038
12S-rRNA,239,73700
12S-rRNA,240,72451
12S-rRNA,241,71946
12S-rRNA,242,71031
12S-rRNA,243,69674
12S-rRNA,244,68266
12S-rRNA,245,67591
12S-rRNA,246,66217
12S-rRNA,247,64132
12S-rRNA,248,61872
12S-rRNA,249,59236
12S-rRNA,250,56357
12S-rRNA,251,55495
12S-rRNA,252,54492
12S-rRNA,253,52974
12S-rRNA,254,49463
12S-rRNA,255,40943
12S-rRNA,256,29394
12S-rRNA,257,19693
12S-rRNA,258,17922
12S-rRNA,259,16086
12S-rRNA,260,12698
12S-rRNA,261,11730
12S-rRNA,262,10779
12S-rRNA,263,10290
12S-rRNA,264,10229
12S-rRNA,265,10102
12S-rRNA,266,9461
12S-rRNA,267,7128
12S-rRNA,268,3704
12S-rRNA,269,2594
12S-rRNA,270,1951
12S-rRNA,271,1697
12S-rRNA,272,1299
12S-rRNA,273,811
12S-rRNA,274,733
12S-rRNA,275,688
12S-rRNA,276,627
12S-rRNA,277,588
12S-rRNA,278,575
12S-rRNA,279,575
12S-rRNA,280,560
12S-rRNA,281,552
12S-rRNA,282,543
12S-rRNA,283,541
12S-rRNA,284,528
12S-rRNA,285,492
12S-rRNA,286,419
12S-rRNA,287,377
12S-rRNA,288,355
12S-rRNA,289,318
12S-rRNA,290,304
12S-rRNA,291,291
12S-rRNA,292,284
12S-rRNA,293,275
12S-rRNA,294,275
12S-rRNA,295,266
12S-rRNA,296,255
12S-rRNA,297,226
12S-rRNA,298,186
12S-rRNA,299,104
12S-rRNA,300,78
12S-rRNA,301,59
12S-rRNA,302,41
12S-rRNA,303,43
12S-rRNA,304,39
12S-rRNA,305,39
12S-rRNA,306,39
12S-rRNA,307,35
12S-rRNA,308,33
12S-rRNA,309,31
12S-rRNA,310,35
12S-rRNA,311,35
12S-rRNA,312,35
12S-rRNA,313,33
12S-rRNA,314,33
12S-rRNA,315,33
12S-rRNA,316,33
12S-rRNA,317,31
12S-rRNA,318,31
12S-rRNA,319,31
12S-rRNA,320,28
12S-rRNA,321,25
12S-rRNA,322,20
12S-rRNA,323,20
12S-rRNA,324,20
12S-rRNA,325,20
12S-rRNA,326,20
12S-rRNA,327,20
12S-rRNA,328,20
12S-rRNA,329,20
12S-rRNA,330,20
12S-rRNA,331,12
12S-rRNA,332,10
12S-rRNA,333,4
12S-rRNA,334,4
12S-rRNA,335,4
12S-rRNA,336,4
12S-rRNA,337,4
12S-rRNA,338,4
12S-rRNA,339,4
12S-rRNA,340,4
12S-rRNA,341,4
12S-rRNA,342,4
12S-rRNA,343,2
12S-rRNA,344,2
12S-rRNA,345,2
12S-rRNA,346,2
12S-rRNA,347,2
12S-rRNA,348,2
12S-rRNA,349,2
12S-rRNA,350,2
12S-rRNA,351,4
12S-rRNA,352,4
12S-rRNA,353,4
12S-rRNA,354,4
12S-rRNA,355,4
12S-rRNA,356,2
12S-rRNA,357,2
12S-rRNA,358,2
12S-rRNA,359,2
12S-rRNA,360,6
12S-rRNA,361,6
12S-rRNA,362,6
12S-rRNA,363,6
12S-rRNA,364,6
12S-rRNA,365,6
12S-rRNA,366,6
12S-rRNA,367,6
12S-rRNA,368,6
12S-rRNA,369,6
12S-rRNA,370,8
12S-rRNA,371,11
12S-rRNA,372,11
12S-rRNA,373,11
12S-rRNA,374,11
12S-rRNA,375,11
12S-rRNA,376,11
12S-rRNA,377,11
12S-rRNA,378,11
12S-rRNA,379,11
12S-rRNA,380,11
12S-rRNA,381,11
12S-rRNA,382,11
12S-rRNA,383,9
12S-rRNA,384,9
12S-rRNA,385,9
12S-rRNA,386,9
12S-rRNA,387,9
12S-rRNA,388,9
12S-rRNA,389,9
12S-rRNA,390,9
12S-rRNA,391,7
12S-rRNA,392,7
12S-rRNA,393,7
12S-rRNA,394,7
12S-rRNA,395,7
12S-rRNA,396,7
12S-rRNA,397,7
12S-rRNA,398,7
12S-rRNA,399,7
12S-rRNA,400,7
12S-rRNA,401,7
12S-rRNA,402,5
12S-rRNA,403,5
12S-rRNA,404,5
12S-rRNA,405,5
12S-rRNA,406,2
12S-rRNA,407,2
12S-rRNA,408,2
12S-rRNA,409,2
12S-rRNA,410,2
12S-rRNA,411,2
12S-rRNA,412,2
12S-rRNA,413,2
12S-rRNA,414,2
12S-rRNA,415,2
12S-rRNA,416,2
12S-rRNA,417,2
12S-rRNA,418,2
12S-rRNA,560,149
12S-rRNA,561,749
12S-rRNA,562,2339
12S-rRNA,563,4210
12S-rRNA,564,6787
12S-rRNA,565,11060
12S-rRNA,566,17018
12S-rRNA,567,23570
12S-rRNA,568,31574
12S-rRNA,569,35384
12S-rRNA,570,37659
12S-rRNA,571,39846
12S-rRNA,572,42530
12S-rRNA,573,46690
12S-rRNA,574,49112
12S-rRNA,575,51554
12S-rRNA,576,53544
12S-rRNA,577,55597
12S-rRNA,578,58297
12S-rRNA,579,59605
12S-rRNA,580,60761
12S-rRNA,581,61427
12S-rRNA,582,61288
12S-rRNA,583,61132
12S-rRNA,584,61009
12S-rRNA,585,60640
12S-rRNA,586,59919
12S-rRNA,587,59105
12S-rRNA,588,58678
12S-rRNA,589,58375
12S-rRNA,590,57697
12S-rRNA,591,56140
12S-rRNA,592,54344
12S-rRNA,593,53030
12S-rRNA,594,52030
12S-rRNA,595,51551
12S-rRNA,596,51232
12S-rRNA,597,50833
12S-rRNA,598,49825
12S-rRNA,599,47267
12S-rRNA,600,42912
12S-rRNA,601,36812
12S-rRNA,602,34091
12S-rRNA,603,32514
12S-rRNA,604,31087
12S-rRNA,605,30013
12S-rRNA,606,29605
12S-rRNA,607,28869
12S-rRNA,608,27297
12S-rRNA,609,25227
12S-rRNA,610,21219
12S-rRNA,611,17216
12S-rRNA,612,15353
12S-rRNA,613,14270
12S-rRNA,614,13806
12S-rRNA,615,13499
12S-rRNA,616,13289
12S-rRNA,617,12916
12S-rRNA,618,12174
12S-rRNA,619,11271
12S-rRNA,620,10234
12S-rRNA,621,8606
12S-rRNA,622,7128
12S-rRNA,623,6154
12S-rRNA,624,5626
12S-rRNA,625,5380
12S-rRNA,626,5204
12S-rRNA,627,5031
12S-rRNA,628,4464
12S-rRNA,629,3697
12S-rRNA,630,3505
12S-rRNA,631,3350
12S-rRNA,632,3293
12S-rRNA,633,3227
12S-rRNA,634,3097
12S-rRNA,635,2821
12S-rRNA,636,2537
12S-rRNA,637,2266
12S-rRNA,638,2035
12S-rRNA,639,1743
12S-rRNA,640,1530
12S-rRNA,641,1463
12S-rRNA,642,1441
12S-rRNA,643,1405
12S-rRNA,644,1367
12S-rRNA,645,1302
12S-rRNA,646,1183
12S-rRNA,647,951
12S-rRNA,648,721
12S-rRNA,649,645
12S-rRNA,650,593
12S-rRNA,651,564
12S-rRNA,652,513
12S-rRNA,653,494
12S-rRNA,654,485
12S-rRNA,655,456
12S-rRNA,656,430
12S-rRNA,657,411
12S-rRNA,658,372
12S-rRNA,659,331
12S-rRNA,660,285
12S-rRNA,661,245
12S-rRNA,662,216
12S-rRNA,663,201
12S-rRNA,664,199
12S-rRNA,665,181
12S-rRNA,666,140
12S-rRNA,667,115
12S-rRNA,668,92
12S-rRNA,669,63
12S-rRNA,670,33
12S-rRNA,671,15
12S-rRNA,672,13
12S-rRNA,673,13
12S-rRNA,674,13
12S-rRNA,675,13
12S-rRNA,676,11
12S-rRNA,677,11
12S-rRNA,678,8
12S-rRNA,679,8
12S-rRNA,680,8
12S-rRNA,681,8
12S-rRNA,682,8
12S-rRNA,683,8
12S-rRNA,684,8
12S-rRNA,685,12
12S-rRNA,686,12
12S-rRNA,687,14
12S-rRNA,688,14
12S-rRNA,689,14
12S-rRNA,690,14
12S-rRNA,691,14
12S-rRNA,692,14
12S-rRNA,693,14
12S-rRNA,694,12
12S-rRNA,695,12
12S-rRNA,696,12
12S-rRNA,697,10
12S-rRNA,698,8
12S-rRNA,699,6
12S-rRNA,700,6
12S-rRNA,701,6
12S-rRNA,702,6
12S-rRNA,703,2
12S-rRNA,704,5
12S-rRNA,705,33
12S-rRNA,706,37
12S-rRNA,707,37
12S-rRNA,708,37
12S-rRNA,709,37
12S-rRNA,710,37
12S-rRNA,711,37
12S-rRNA,712,37
12S-rRNA,713,37
12S-rRNA,714,37
12S-rRNA,715,37
12S-rRNA,716,37
12S-rRNA,717,37
12S-rRNA,718,37
12S-rRNA,719,37
12S-rRNA,720,35
12S-rRNA,721,29
12S-rRNA,722,14
12S-rRNA,723,11
12S-rRNA,732,6
12S-rRNA,733,78
12S-rRNA,734,471
12S-rRNA,735,13872
12S-rRNA,736,32853
12S-rRNA,737,44138
12S-rRNA,738,56121
12S-rRNA,739,64274
12S-rRNA,740,68297
12S-rRNA,741,78484
12S-rRNA,742,89880
12S-rRNA,743,102116
12S-rRNA,744,112076
12S-rRNA,745,127557
12S-rRNA,746,144242
12S-rRNA,747,151450
12S-rRNA,748,153827
12S-rRNA,749,154799
12S-rRNA,750,154937
12S-rRNA,751,154935
12S-rRNA,752,154947
12S-rRNA,753,154947
12S-rRNA,754,154947
12S-rRNA,755,154822
12S-rRNA,756,154521
12S-rRNA,757,154289
12S-rRNA,758,153452
12S-rRNA,759,152187
12S-rRNA,760,151580
12S-rRNA,761,151182
12S-rRNA,762,150597
12S-rRNA,763,149693
12S-rRNA,764,149063
12S-rRNA,765,148931
12S-rRNA,766,148834
12S-rRNA,767,148655
12S-rRNA,768,148164
12S-rRNA,769,145068
12S-rRNA,770,137391
12S-rRNA,771,130191
12S-rRNA,772,126907
12S-rRNA,773,125745
12S-rRNA,774,124481
12S-rRNA,775,122404
12S-rRNA,776,121067
12S-rRNA,777,119958
12S-rRNA,778,116694
12S-rRNA,779,112685
12S-rRNA,780,107192
12S-rRNA,781,95564
12S-rRNA,782,83948
12S-rRNA,783,78486
12S-rRNA,784,70405
12S-rRNA,785,63632
12S-rRNA,786,61268
12S-rRNA,787,58308
12S-rRNA,788,55692
12S-rRNA,789,54356
12S-rRNA,790,53616
12S-rRNA,791,53172
12S-rRNA,792,52626
12S-rRNA,793,51730
12S-rRNA,794,51056
12S-rRNA,795,50054
12S-rRNA,796,44180
12S-rRNA,797,38779
12S-rRNA,798,36075
12S-rRNA,799,34057
12S-rRNA,800,32905
12S-rRNA,801,31146
12S-rRNA,802,29878
12S-rRNA,803,27863
12S-rRNA,804,26313
12S-rRNA,805,25354
12S-rRNA,806,24633
12S-rRNA,807,23822
12S-rRNA,808,22716
12S-rRNA,809,22078
12S-rRNA,810,21820
12S-rRNA,811,21407
12S-rRNA,812,20866
12S-rRNA,813,19666
12S-rRNA,814,18404
12S-rRNA,815,17357
12S-rRNA,816,16188
12S-rRNA,817,15533
12S-rRNA,818,14065
12S-rRNA,819,12775
12S-rRNA,820,10909
12S-rRNA,821,9308
12S-rRNA,822,8318
12S-rRNA,823,7514
12S-rRNA,824,7150
12S-rRNA,825,6307
12S-rRNA,826,5864
12S-rRNA,827,5615
12S-rRNA,828,5023
12S-rRNA,829,4728
12S-rRNA,830,4571
12S-rRNA,831,4451
12S-rRNA,832,3514
12S-rRNA,833,2736
12S-rRNA,834,1987
12S-rRNA,835,1125
12S-rRNA,836,574
12S-rRNA,837,368
12S-rRNA,838,284
12S-rRNA,839,261
12S-rRNA,840,250
12S-rRNA,841,170
12S-rRNA,842,147
12S-rRNA,843,113
12S-rRNA,844,96
12S-rRNA,845,81
12S-rRNA,846,105
12S-rRNA,847,120
12S-rRNA,848,137
12S-rRNA,849,325
12S-rRNA,850,387
12S-rRNA,851,513
12S-rRNA,852,621
12S-rRNA,853,649
12S-rRNA,854,720
12S-rRNA,855,749
12S-rRNA,856,788
12S-rRNA,857,864
12S-rRNA,858,962
12S-rRNA,859,1521
12S-rRNA,860,2157
12S-rRNA,861,2752
12S-rRNA,862,3833
12S-rRNA,863,5437
12S-rRNA,864,6312
12S-rRNA,865,7777
12S-rRNA,866,8975
12S-rRNA,867,9536
12S-rRNA,868,9809
12S-rRNA,869,10316
12S-rRNA,870,10877
12S-rRNA,871,11992
12S-rRNA,872,12691
12S-rRNA,873,13425
12S-rRNA,874,14062
12S-rRNA,875,14136
12S-rRNA,876,14119
12S-rRNA,877,14096
12S-rRNA,878,14055
12S-rRNA,879,14001
12S-rRNA,880,13850
12S-rRNA,881,13724
12S-rRNA,882,13569
12S-rRNA,883,13458
12S-rRNA,884,13370
12S-rRNA,885,13324
12S-rRNA,886,13285
12S-rRNA,887,13248
12S-rRNA,888,13228
12S-rRNA,889,13184
12S-rRNA,890,12853
12S-rRNA,891,12733
12S-rRNA,892,12295
12S-rRNA,893,11854
12S-rRNA,894,11417
12S-rRNA,895,11052
12S-rRNA,896,10655
12S-rRNA,897,10400
12S-rRNA,898,10295
12S-rRNA,899,10229
12S-rRNA,900,10204
12S-rRNA,901,10185
12S-rRNA,902,10149
12S-rRNA,903,10133
12S-rRNA,904,10030
12S-rRNA,905,9974
12S-rRNA,906,9860
12S-rRNA,907,9484
12S-rRNA,908,9205
12S-rRNA,909,8174
12S-rRNA,910,7660
12S-rRNA,911,6104
12S-rRNA,912,5381
12S-rRNA,913,4707
12S-rRNA,914,3948
12S-rRNA,915,3775
12S-rRNA,916,3509
12S-rRNA,917,3183
12S-rRNA,918,2968
12S-rRNA,919,2613
12S-rRNA,920,2245
12S-rRNA,921,1835
12S-rRNA,922,1492
12S-rRNA,923,1231
12S-rRNA,924,962
12S-rRNA,925,745
12S-rRNA,926,695
12S-rRNA,927,675
12S-rRNA,928,641
12S-rRNA,929,622
12S-rRNA,930,596
12S-rRNA,931,554
12S-rRNA,932,516
12S-rRNA,933,489
12S-rRNA,934,444
12S-rRNA,935,418
12S-rRNA,936,406
12S-rRNA,937,335
12S-rRNA,938,302
12S-rRNA,939,236
12S-rRNA,940,139
12S-rRNA,941,67
12S-rRNA,942,56
12S-rRNA,943,54
12S-rRNA,944,46
12S-rRNA,945,46
12S-rRNA,946,46
12S-rRNA,947,46
12S-rRNA,948,40
12S-rRNA,949,36
12S-rRNA,950,23
12S-rRNA,951,10
12S-rRNA,952,6
16S-rRNA,1,9515564
16S-rRNA,2,9537707
16S-rRNA,3,9543388
16S-rRNA,4,9544079
16S-rRNA,5,9609142
16S-rRNA,6,9764623
16S-rRNA,7,9771824
16S-rRNA,8,9774777
16S-rRNA,9,9776807
16S-rRNA,10,9780297
16S-rRNA,11,9781570
16S-rRNA,12,9782368
16S-rRNA,13,9783666
16S-rRNA,14,9785484
16S-rRNA,15,9786964
16S-rRNA,16,9741948
16S-rRNA,17,9722557
16S-rRNA,18,9702434
16S-rRNA,19,9629519
16S-rRNA,20,9588092
16S-rRNA,21,9528676
16S-rRNA,22,9111129
16S-rRNA,23,8828008
16S-rRNA,24,8720938
16S-rRNA,25,8525111
16S-rRNA,26,7929922
16S-rRNA,27,7511231
16S-rRNA,28,7326872
16S-rRNA,29,7051957
16S-rRNA,30,6621952
16S-rRNA,31,6368530
16S-rRNA,32,6244598
16S-rRNA,33,6162792
16S-rRNA,34,6030025
16S-rRNA,35,5704957
16S-rRNA,36,5567188
16S-rRNA,37,5510940
16S-rRNA,38,5449952
16S-rRNA,39,5349292
16S-rRNA,40,5012885
16S-rRNA,41,4446725
16S-rRNA,42,3718301
16S-rRNA,43,2937390
16S-rRNA,44,2337841
16S-rRNA,45,2090077
16S-rRNA,46,1742571
16S-rRNA,47,1510694
16S-rRNA,48,1434966
16S-rRNA,49,1400027
16S-rRNA,50,1300953
16S-rRNA,51,1063003
16S-rRNA,52,895724
16S-rRNA,53,862621
16S-rRNA,54,841418
16S-rRNA,55,813078
16S-rRNA,56,775578
16S-rRNA,57,728336
16S-rRNA,58,668824
16S-rRNA,59,635158
16S-rRNA,60,622208
16S-rRNA,61,623061
16S-rRNA,62,653417
16S-rRNA,63,654967
16S-rRNA,64,649380
16S-rRNA,65,646719
16S-rRNA,66,653708
16S-rRNA,67,682559
16S-rRNA,68,706556
16S-rRNA,69,759044
16S-rRNA,70,792258
16S-rRNA,71,805438
16S-rRNA,72,806329
16S-rRNA,73,814474
16S-rRNA,74,820843
16S-rRNA,75,824493
16S-rRNA,76,822011
16S-rRNA,77,814692
16S-rRNA,78,796401
16S-rRNA,79,788180
16S-rRNA,80,752181
16S-rRNA,81,740335
16S-rRNA,82,733151
16S-rRNA,83,733313
16S-rRNA,84,700927
16S-rRNA,85,697062
16S-rRNA,86,703031
16S-rRNA,87,703483
16S-rRNA,88,700002
16S-rRNA,89,705248
16S-rRNA,90,714841
16S-rRNA,91,715915
16S-rRNA,92,721631
16S-rRNA,93,764339
16S-rRNA,94,778316
16S-rRNA,95,793677
16S-rRNA,96,800317
16S-rRNA,97,823193
16S-rRNA,98,845537
16S-rRNA,99,839499
16S-rRNA,100,830368
16S-rRNA,101,824819
16S-rRNA,102,814960
16S-rRNA,103,803961
16S-rRNA,104,771421
16S-rRNA,105,757227
16S-rRNA,106,746886
16S-rRNA,107,738625
16S-rRNA,108,696792
16S-rRNA,109,684180
16S-rRNA,110,622325
16S-rRNA,111,602533
16S-rRNA,112,587948
16S-rRNA,113,584362
16S-rRNA,114,571459
16S-rRNA,115,573030
16S-rRNA,116,571465
16S-rRNA,117,571139
16S-rRNA,118,572110
16S-rRNA,119,558692
16S-rRNA,120,542233
16S-rRNA,121,511309
16S-rRNA,122,479315
16S-rRNA,123,456849
16S-rRNA,124,440712
16S-rRNA,125,426175
16S-rRNA,126,398727
16S-rRNA,127,355991
16S-rRNA,128,324993
16S-rRNA,129,283126
16S-rRNA,130,256854
16S-rRNA,131,234883
16S-rRNA,132,180207
16S-rRNA,133,159797
16S-rRNA,134,148210
16S-rRNA,135,154185
16S-rRNA,136,130902
16S-rRNA,137,129501
16S-rRNA,138,122806
16S-rRNA,139,101644
16S-rRNA,140,103107
16S-rRNA,141,103954
16S-rRNA,142,105624
16S-rRNA,143,116483
16S-rRNA,144,134563
16S-rRNA,145,143351
16S-rRNA,146,163930
16S-rRNA,147,173360
16S-rRNA,148,172367
16S-rRNA,149,178328
16S-rRNA,150,183875
16S-rRNA,151,187230
16S-rRNA,152,188153
16S-rRNA,153,190251
16S-rRNA,154,191953
16S-rRNA,155,194321
16S-rRNA,156,196530
16S-rRNA,157,197475
16S-rRNA,158,194095
16S-rRNA,159,198198
16S-rRNA,160,199252
16S-rRNA,161,202687
16S-rRNA,162,208635
16S-rRNA,163,209219
16S-rRNA,164,213279
16S-rRNA,165,215686
16S-rRNA,166,216742
16S-rRNA,167,218453
16S-rRNA,168,221266
16S-rRNA,169,222762
16S-rRNA,170,223495
16S-rRNA,171,218393
16S-rRNA,172,213543
16S-rRNA,173,212610
16S-rRNA,174,211804
16S-rRNA,175,209250
16S-rRNA,176,206411
16S-rRNA,177,205567
16S-rRNA,178,196225
16S-rRNA,179,177192
16S-rRNA,180,175796
16S-rRNA,181,176622
16S-rRNA,182,176996
16S-rRNA,183,173019
16S-rRNA,184,171287
16S-rRNA,185,161365
16S-rRNA,186,134851
16S-rRNA,187,131800
16S-rRNA,188,137729
16S-rRNA,189,140300
16S-rRNA,190,131418
16S-rRNA,191,132017
16S-rRNA,192,132995
16S-rRNA,193,133976
16S-rRNA,194,134217
16S-rRNA,195,142864
16S-rRNA,196,149053
16S-rRNA,197,151884
16S-rRNA,198,149956
16S-rRNA,199,153234
16S-rRNA,200,147711
16S-rRNA,201,147866
16S-rRNA,202,147006
16S-rRNA,203,147923
16S-rRNA,204,147564
16S-rRNA,205,148552
16S-rRNA,206,149230
16S-rRNA,207,150207
16S-rRNA,208,149406
16S-rRNA,209,152651
16S-rRNA,210,158412
16S-rRNA,211,166032
16S-rRNA,212,172317
16S-rRNA,213,181436
16S-rRNA,214,187229
16S-rRNA,215,199680
16S-rRNA,216,206905
16S-rRNA,217,232739
16S-rRNA,218,239760
16S-rRNA,219,257824
16S-rRNA,220,269115
16S-rRNA,221,280860
16S-rRNA,222,288763
16S-rRNA,223,300100
16S-rRNA,224,321008
16S-rRNA,225,349956
16S-rRNA,226,374895
16S-rRNA,227,398849
16S-rRNA,228,438911
16S-rRNA,229,452004
16S-rRNA,230,458459
16S-rRNA,231,458262
16S-rRNA,232,465401
16S-rRNA,233,465303
16S-rRNA,234,464698
16S-rRNA,235,460482
16S-rRNA,236,450922
16S-rRNA,237,443713
16S-rRNA,238,420983
16S-rRNA,239,407974
16S-rRNA,240,397962
16S-rRNA,241,392667
16S-rRNA,242,386248
16S-rRNA,243,373265
16S-rRNA,244,360632
16S-rRNA,245,352339
16S-rRNA,246,349064
16S-rRNA,247,344527
16S-rRNA,248,331586
16S-rRNA,249,326252
16S-rRNA,250,322636
16S-rRNA,251,320694
16S-rRNA,252,316999
16S-rRNA,253,313467
16S-rRNA,254,310014
16S-rRNA,255,303281
16S-rRNA,256,284001
16S-rRNA,257,265548
16S-rRNA,258,252593
16S-rRNA,259,244382
16S-rRNA,260,238460
16S-rRNA,261,235523
16S-rRNA,262,230755
16S-rRNA,263,225128
16S-rRNA,264,218149
16S-rRNA,265,192793
16S-rRNA,266,176507
16S-rRNA,267,171007
16S-rRNA,268,165124
16S-rRNA,269,158504
16S-rRNA,270,154490
16S-rRNA,271,150900
16S-rRNA,272,146869
16S-rRNA,273,144608
16S-rRNA,274,140419
16S-rRNA,275,138268
16S-rRNA,276,135721
16S-rRNA,277,133323
16S-rRNA,278,130777
16S-rRNA,279,126403
16S-rRNA,280,116740
16S-rRNA,281,113610
16S-rRNA,282,108667
16S-rRNA,283,106332
16S-rRNA,284,101616
16S-rRNA,285,90370
16S-rRNA,286,80956
16S-rRNA,287,75057
16S-rRNA,288,71652
16S-rRNA,289,64265
16S-rRNA,290,60235
16S-rRNA,291,58143
16S-rRNA,292,52524
